Manufacturing,102083.31
Manufacturing,152394.38
Services Providers,120196.46
Manufacturing,663212.96
Services Providers,36974.12
Services Providers,41043.64
Services Providers,34594.36
Services Providers,53825.29
Wholesale & Trade,21382.16
Services Providers,440290
Manufacturing,193566.72
Construction,68043.87
Services Providers,274614.71
Services Providers,1211832
Services Providers,142857.12
Services Providers,111868
Construction,77984.4
Services Providers,24870
Manufacturing,796717.41
Services Providers,19476
Services Providers,188647
Services Providers,63000
Services Providers,613113.59
Construction,48103.25
Manufacturing,28571.44
Services Providers,250740.48
Services Providers,226836.64
Wholesale & Trade,88431.87
Wholesale & Trade,39091
Manufacturing,243202.43
Wholesale & Trade,29116
Wholesale & Trade,120203.56
Wholesale & Trade,80000
Services Providers,50000
Services Providers,67728.04
Wholesale & Trade,29603
Services Providers,71428.56
"Agriculture, Forestry, Fishing and Hunting",596667.02
Construction,119174
Services Providers,149472.95
Manufacturing,553556
Manufacturing,500000.04
Manufacturing,163294
Wholesale & Trade,625000
"Agriculture, Forestry, Fishing and Hunting",127252.4
"Agriculture, Forestry, Fishing and Hunting",498375
Services Providers,104892.25
Manufacturing,2022863
Manufacturing,69015.59
Services Providers,117000
Manufacturing,12957
Manufacturing,23596.34
Services Providers,175569
Services Providers,50674
Construction,146332
Services Providers,112950
Services Providers,8067
Wholesale & Trade,532153.86
Services Providers,146866
Manufacturing,230141.33
Manufacturing,234625
Construction,134500
Services Providers,537633
Construction,469449.62
Construction,57835
Wholesale & Trade,50000
"Agriculture, Forestry, Fishing and Hunting",4000000.01
Construction,48047.62
Services Providers,123396.48
Construction,247379
Wholesale & Trade,390837
Services Providers,540550.74
Services Providers,957064.41
Manufacturing,32282.91
Services Providers,105563
Wholesale & Trade,76442
Services Providers,45549.04
Manufacturing,1369594.81
Services Providers,267518.65
Services Providers,403675.76
Services Providers,84886.84
Manufacturing,561714.29
Manufacturing,107988.09
Services Providers,151200.31
Manufacturing,44035
Construction,42753
Services Providers,57698.66
Manufacturing,147879.52
Wholesale & Trade,342857.16
Manufacturing,238095.25
Wholesale & Trade,113188.86
Manufacturing,107142.87
Services Providers,462000
Wholesale & Trade,77658.91
Manufacturing,54508
Services Providers,99240.14
Services Providers,464302.98
Manufacturing,166640.88
Services Providers,58000
Manufacturing,74682.16
Manufacturing,1533333.33
Wholesale & Trade,92150.13
Wholesale & Trade,404056
Wholesale & Trade,196571
Manufacturing,259860.62
Wholesale & Trade,21693
Wholesale & Trade,39392
Manufacturing,333333.36
Construction,50000
Manufacturing,26786
Services Providers,173636.97
Services Providers,230945.35
Manufacturing,632859.26
Services Providers,106003
Services Providers,597488.96
Construction,533511
Services Providers,444285.72
"Agriculture, Forestry, Fishing and Hunting",747885.83
Services Providers,59652
Construction,1043240
Services Providers,173667
Wholesale & Trade,62539.33
Services Providers,1882261.87
Construction,23376
Construction,211134.29
Manufacturing,89562
Wholesale & Trade,32129
Manufacturing,76589
Manufacturing,18418
Construction,109055
Services Providers,107142.87
Services Providers,633778
Construction,96335
Services Providers,137592
Manufacturing,37544
Manufacturing,46000
Services Providers,94333.34
Manufacturing,16599
Manufacturing,132010.79
Manufacturing,33331
Construction,37913
Manufacturing,9892
Manufacturing,21526.86
Manufacturing,177267.34
Services Providers,223950.88
Manufacturing,33483
Services Providers,99302
Wholesale & Trade,43128
Services Providers,124042
Construction,175614.73
Manufacturing,156206.41
Services Providers,96666.67
Manufacturing,108995.66
Services Providers,25000
Construction,100000
Construction,314062
Manufacturing,144179
Services Providers,113013.92
Manufacturing,184010.4
Wholesale & Trade,29573
"Agriculture, Forestry, Fishing and Hunting",45813
Wholesale & Trade,28571.43
Wholesale & Trade,1883784
Services Providers,12329
Services Providers,65521
Services Providers,66666.65
Services Providers,426006
Services Providers,4419892
Manufacturing,279548.92
Wholesale & Trade,1110
Services Providers,196211
Construction,22446
Wholesale & Trade,75556
Services Providers,215695.6
Services Providers,108174
Services Providers,447390.39
Manufacturing,400000.05
Manufacturing,67578
Manufacturing,387426
Services Providers,1061276.57
Construction,45142.21
Construction,14576
Services Providers,135401
Manufacturing,27930
Manufacturing,35917
Services Providers,300517.83
Manufacturing,39714.05
Wholesale & Trade,41227
Services Providers,601132.74
Construction,851077
Services Providers,41779
Services Providers,199999.98
Construction,79041
Wholesale & Trade,25000
Services Providers,142857.12
Construction,50189
Manufacturing,223648.38
Construction,31607
Services Providers,200893.02
Services Providers,73853
Construction,113931.62
Construction,57142.88
Services Providers,2482500.04
Wholesale & Trade,171428.55
Services Providers,58094.28
Services Providers,927781
Services Providers,11910
Construction,11547
Construction,49805
Manufacturing,122724.86
Wholesale & Trade,104903.67
Manufacturing,128215
Services Providers,348996.06
"Agriculture, Forestry, Fishing and Hunting",999999.98
Manufacturing,444307.16
Manufacturing,37100.48
Construction,857142.85
Services Providers,88730
Wholesale & Trade,48078
Construction,63726
Services Providers,83333.32
Wholesale & Trade,57142.84
Manufacturing,88765
Construction,68733
Construction,269067.97
Wholesale & Trade,25000
Manufacturing,34318
Construction,33333.33
Manufacturing,181883
Services Providers,90788
Construction,272338
Services Providers,358051
Services Providers,150949
Services Providers,84085.02
Services Providers,71428.56
Manufacturing,233333.36
Services Providers,333333.33
Services Providers,142857.16
Construction,342222
Manufacturing,88571.43
Wholesale & Trade,133333.36
Services Providers,357752
Manufacturing,85714.32
Construction,140350.88
Manufacturing,100000
Services Providers,633381
Manufacturing,85714.28
Wholesale & Trade,910209.53
Construction,214285.7
Manufacturing,56972.32
Construction,15160
Services Providers,111859.14
Construction,79322.79
Wholesale & Trade,34674.54
Services Providers,182440
Manufacturing,50028
Construction,319999.98
Services Providers,85878
Wholesale & Trade,50577
Wholesale & Trade,26666.66
Services Providers,285714.3
Construction,231436
Services Providers,15622
Services Providers,56010
Construction,90096.64
Services Providers,359517
Construction,142857.14
Services Providers,395587.3
Manufacturing,321298
Wholesale & Trade,353094
Services Providers,151337.38
Services Providers,230442.03
Construction,163820.44
Wholesale & Trade,82367
Services Providers,42857.14
Manufacturing,158816.9
Services Providers,125498.78
Services Providers,174999.99
Wholesale & Trade,35613
Services Providers,159098
Manufacturing,474662.97
"Agriculture, Forestry, Fishing and Hunting",81092.4
Wholesale & Trade,47932.81
Construction,20403.01
Services Providers,31321
Manufacturing,92592.6
Construction,2627331
Construction,3491759
Services Providers,28571.43
Construction,41809.43
Services Providers,152594.69
Manufacturing,277722
Construction,259878
Construction,558604
Manufacturing,3364
Construction,648760
Wholesale & Trade,271936
Manufacturing,36679
Manufacturing,129000
Services Providers,262724.21
Wholesale & Trade,100000
Manufacturing,302890
Services Providers,35139
Services Providers,39275.03
Manufacturing,48072
Construction,57142.8
Construction,81715
Wholesale & Trade,548242
Services Providers,2000000
Services Providers,96720
Construction,1561082
Construction,130451
Manufacturing,126900.6
Services Providers,20768
Wholesale & Trade,75685.19
Services Providers,656351.23
Services Providers,66586.7
Services Providers,63806
Services Providers,38715
Services Providers,66123
Manufacturing,438170
Construction,5327448
Wholesale & Trade,17993
Wholesale & Trade,99825
Manufacturing,148520
Manufacturing,114285.71
Services Providers,252216
Services Providers,94291
Services Providers,66948.22
Construction,54509
Services Providers,18623.68
Construction,310233.65
Construction,64559.79
Services Providers,80000
Manufacturing,497593
"Agriculture, Forestry, Fishing and Hunting",40063
Construction,172452.76
Services Providers,120693
Manufacturing,25171
Manufacturing,85237.74
Manufacturing,72600.58
Services Providers,204577.21
Services Providers,81761
Manufacturing,44771.73
Construction,1690942.01
Services Providers,582993
Manufacturing,118860
Manufacturing,66807.94
Services Providers,68571.42
Construction,381443.04
Manufacturing,68639.48
Services Providers,52587.57
Services Providers,26267
Wholesale & Trade,119747.53
Services Providers,88000
Services Providers,149054
Services Providers,380419
Services Providers,229627.61
Manufacturing,285714.29
Manufacturing,77114
Manufacturing,1120000
Manufacturing,300000
Construction,60395
Manufacturing,71428.56
Construction,833333.33
Manufacturing,175000
Services Providers,242764
Construction,431391
Services Providers,49000
Wholesale & Trade,285714.32
Services Providers,74621
Wholesale & Trade,140046.14
Construction,833333.35
Manufacturing,1070814
Wholesale & Trade,167012.55
Manufacturing,592763.99
Manufacturing,91241
Construction,224123
Manufacturing,165708.62
Services Providers,60611
Construction,123317
Services Providers,767085
Services Providers,152270
Construction,72433
Services Providers,52053.57
Wholesale & Trade,46152.86
Services Providers,158465
Manufacturing,133259
Wholesale & Trade,194516.38
Manufacturing,65294
Wholesale & Trade,64773
Manufacturing,292452.69
Manufacturing,20043
Wholesale & Trade,34663.01
Services Providers,50349
Services Providers,142857.12
Wholesale & Trade,57142.84
Manufacturing,714285.72
Services Providers,125250.41
Construction,67920
Wholesale & Trade,642857.16
Construction,428571.42
Construction,1118811
Manufacturing,1187808
Services Providers,156216.58
Construction,1870882
Services Providers,281798
Manufacturing,119499.18
Wholesale & Trade,265027.94
Manufacturing,194000
Manufacturing,13496
Manufacturing,187906
Manufacturing,60791
Construction,491259.38
Services Providers,113243.56
Manufacturing,114285.68
Manufacturing,210900.59
Services Providers,107439.46
Construction,142857.12
Construction,2882065
Construction,750000
Services Providers,5400
Manufacturing,644386
Wholesale & Trade,200000
Services Providers,273178.67
Services Providers,142857.12
Manufacturing,108801.09
Manufacturing,38149
Manufacturing,29793
Manufacturing,466921.24
Manufacturing,93869
Manufacturing,562500
Services Providers,96908.54
Manufacturing,190980
Manufacturing,205147
Manufacturing,70735
Manufacturing,329368
Wholesale & Trade,48363
Services Providers,90000
Construction,207087
Services Providers,292133.2
Manufacturing,333333.35
Services Providers,160000
Wholesale & Trade,138030.44
Services Providers,319974
Manufacturing,174710.74
Manufacturing,343860
Services Providers,51425
Services Providers,66666.68
Services Providers,134333.99
Services Providers,125273.62
Manufacturing,86464.47
Manufacturing,34773.74
Construction,2011681
Manufacturing,235000
Construction,553791
Manufacturing,19257
Services Providers,29180
Wholesale & Trade,1025974
Construction,714191
Wholesale & Trade,89032.41
Services Providers,107889
Wholesale & Trade,275377.2
Services Providers,131573.48
Construction,357142.84
Manufacturing,400000.05
Manufacturing,142857.16
Construction,193374.54
Construction,1205023
Services Providers,63706.64
Construction,419481.34
Manufacturing,77392.09
Services Providers,15000
Services Providers,146905.24
Services Providers,277379
Services Providers,7246
Services Providers,47287
Services Providers,169145.07
Services Providers,201556
Manufacturing,166020.22
Manufacturing,66666.67
Manufacturing,7756
Manufacturing,42136
Construction,257857.13
Services Providers,141000
Wholesale & Trade,84080.39
Construction,372389
Construction,1274796
Services Providers,258168.31
Construction,625000
Construction,351890.83
Services Providers,726000
Manufacturing,88435.25
Manufacturing,140716.86
Construction,126401.6
Services Providers,368120.57
Services Providers,55893.22
Services Providers,57142.88
Services Providers,57142.88
Construction,416666.65
Services Providers,900000
Manufacturing,8908
Services Providers,407981
Services Providers,182857.16
Manufacturing,76923.08
Manufacturing,82000
Services Providers,69000
Services Providers,105195
Manufacturing,285714.28
Services Providers,500000
Services Providers,101751.71
Manufacturing,71428.56
Construction,285714.32
Manufacturing,619484.52
Construction,281354.29
Construction,785714.28
Construction,2046321.02
Manufacturing,100000
Construction,208333.32
Services Providers,100000
Services Providers,845456
Services Providers,285714.27
"Agriculture, Forestry, Fishing and Hunting",130012.56
Wholesale & Trade,452467.79
Services Providers,895367.02
Services Providers,85714.32
Wholesale & Trade,214285.72
Services Providers,316513
Services Providers,923544.46
Construction,102625.09
Services Providers,187499.94
Services Providers,437197.3
Services Providers,126045.46
Manufacturing,838364.46
Manufacturing,200000
Services Providers,670185.02
Manufacturing,274742.49
Services Providers,250271.81
Manufacturing,479814.11
Manufacturing,174342.24
"Agriculture, Forestry, Fishing and Hunting",2244270
"Agriculture, Forestry, Fishing and Hunting",1323036
Manufacturing,58037.21
Services Providers,350000
Wholesale & Trade,48351
Construction,61235.25
Services Providers,564833.88
Wholesale & Trade,171468.32
Services Providers,54019.69
Services Providers,66971.34
Services Providers,466304.74
Construction,317280
Services Providers,1872327
Manufacturing,1968313
Wholesale & Trade,226382.72
Services Providers,528280
Construction,187406
Manufacturing,553931.43
Manufacturing,117398
Services Providers,480000
Construction,1755482
Services Providers,27873
Services Providers,71428.56
"Agriculture, Forestry, Fishing and Hunting",3142857.15
Construction,139689
Construction,250000
Services Providers,100000
Services Providers,142857.12
Services Providers,666616
Services Providers,57142.86
Services Providers,1672351
Services Providers,1072801
Wholesale & Trade,386038
Services Providers,71428.56
Construction,142857.12
Services Providers,85714.32
"Agriculture, Forestry, Fishing and Hunting",214285.68
Services Providers,175000
Services Providers,83850.78
Construction,166666.68
Manufacturing,428571.42
Construction,78571.46
Manufacturing,214285.7
Services Providers,416666.65
Manufacturing,811575.31
Manufacturing,199980.36
Services Providers,107656
Manufacturing,28795
Wholesale & Trade,50000
Wholesale & Trade,50000
Construction,346475
Services Providers,228571.44
Construction,865766.21
Construction,42319.2
Construction,25714.29
Services Providers,214285.71
Construction,14748
Services Providers,245536.53
Services Providers,250000
Wholesale & Trade,207626
Construction,127552.33
Services Providers,122375
Services Providers,21073
Manufacturing,139983
Manufacturing,134015.46
Wholesale & Trade,98208
Wholesale & Trade,147043.01
Services Providers,245251.98
Manufacturing,330601.89
Services Providers,38976
Manufacturing,126242.59
Services Providers,449234
Construction,20034
Services Providers,246495
Services Providers,8454
Manufacturing,125000
Services Providers,230372.48
Construction,74027
Manufacturing,101183
Construction,35141
Services Providers,82611.91
Manufacturing,14126
Services Providers,214198.95
Construction,143027
Manufacturing,32748
Manufacturing,46631.18
Wholesale & Trade,108621.81
Manufacturing,107506
Services Providers,19000
Construction,333101.46
Manufacturing,59555
Wholesale & Trade,2299621
Construction,189592.2
Wholesale & Trade,42570
Construction,117945
Services Providers,83428.57
Construction,99000
Construction,15501.6
Construction,1843572
Construction,14184
Services Providers,386000
Construction,82154.03
Construction,652210
Construction,61033.32
Construction,33008
Construction,6535
Construction,68678.4
Construction,31000
Manufacturing,244514
Services Providers,74621
Wholesale & Trade,199205.72
Services Providers,63225.05
Manufacturing,100000
Services Providers,97252.47
Services Providers,142857.12
Wholesale & Trade,1147811.1
Services Providers,142857.14
Services Providers,185359
Construction,166666.64
Services Providers,632293.95
Wholesale & Trade,95238.1
"Agriculture, Forestry, Fishing and Hunting",76611
Construction,360026
Construction,435224
Services Providers,42188.14
Services Providers,49374
Services Providers,28571.43
Wholesale & Trade,14285.72
Construction,302738.21
Manufacturing,65588.03
Construction,223774.39
Manufacturing,363149.58
Manufacturing,700000
Services Providers,719505
Services Providers,39000
Construction,128542
Manufacturing,44000
Construction,18040
Construction,135000
Construction,50000
Manufacturing,99000
Services Providers,157142.86
Construction,127512
Construction,185261.4
Wholesale & Trade,424430.19
Services Providers,415977
Construction,341830
Construction,152495.86
Construction,85000
Wholesale & Trade,35784
Construction,106034
Services Providers,39000
Construction,152000
Manufacturing,39000
Construction,10194
Construction,1189
Construction,17784
Construction,36530
Construction,54279
Services Providers,32256
Construction,154000
Services Providers,119000
Services Providers,148203
Services Providers,5571
Construction,430441
Manufacturing,1342857.12
Wholesale & Trade,79845
Manufacturing,1569645.98
Services Providers,255000
Services Providers,14000
"Agriculture, Forestry, Fishing and Hunting",29761.43
Manufacturing,31582
Services Providers,3992840
Services Providers,969508.4
Services Providers,128757
Construction,381385.91
Manufacturing,40346.4
Manufacturing,114285.71
Services Providers,400000
Services Providers,39129
Services Providers,480000
Services Providers,38263
Services Providers,651006
Services Providers,32334.4
Services Providers,118488
"Agriculture, Forestry, Fishing and Hunting",50000
Manufacturing,36000
Services Providers,69000
Manufacturing,36571.5
Construction,348783.1
Construction,127993
Wholesale & Trade,800000
Construction,191390
Wholesale & Trade,56558
Services Providers,129619.21
Services Providers,56745
Wholesale & Trade,91000
Services Providers,105154
Manufacturing,27593.33
Manufacturing,20000
Construction,128957
Services Providers,15000
Services Providers,3350
Services Providers,228062.8
Construction,156494.4
Services Providers,96634.16
Manufacturing,298142
Construction,1445721
Construction,103474
Services Providers,149776.73
Services Providers,249999.99
Wholesale & Trade,571428.56
Services Providers,50605
Services Providers,255181
Construction,74088
Services Providers,143233
Wholesale & Trade,114710
Services Providers,180546
Construction,203490
Manufacturing,250000
Services Providers,1522617.24
Services Providers,431129
"Agriculture, Forestry, Fishing and Hunting",20412
Manufacturing,377167.49
Construction,182794.31
Services Providers,114642.86
Services Providers,57067
Services Providers,539109.29
Services Providers,28356
Manufacturing,899446.97
Manufacturing,201203
Manufacturing,147396
Construction,74535.41
Services Providers,2656372.37
Services Providers,143717
Wholesale & Trade,207236.8
Services Providers,19065
Construction,90908
Services Providers,46486
Manufacturing,218779
Services Providers,29624
Services Providers,525323
Services Providers,795389
Services Providers,333661
Manufacturing,51316
Services Providers,42857.14
Services Providers,51357
Construction,20785
Construction,195573
Manufacturing,38339
Manufacturing,1743732
Manufacturing,285714.28
Manufacturing,162522
Services Providers,18403
Manufacturing,66666.77
Services Providers,187223
Manufacturing,142857.16
Wholesale & Trade,170721
Manufacturing,114285.68
Manufacturing,122253
Services Providers,99999.99
Services Providers,196737.64
Wholesale & Trade,538
Manufacturing,71428.56
Services Providers,85714.29
Construction,97225
Construction,112726
Manufacturing,465227.83
Construction,85314.64
Manufacturing,103166
Wholesale & Trade,116020.95
Services Providers,4166666.67
Services Providers,1116666.67
Services Providers,30000
Construction,26666.68
Services Providers,223851.48
Services Providers,68817.97
Wholesale & Trade,700000.29
Wholesale & Trade,75056
Services Providers,508021.12
Construction,142857.16
Services Providers,236374.04
Construction,427708.65
Manufacturing,118086.77
Manufacturing,84948.94
Services Providers,136631
Services Providers,271165.64
Construction,120000
Construction,35000
Construction,1200602
Services Providers,114285.72
Construction,543000
Wholesale & Trade,214285.71
Construction,139925.71
Manufacturing,100000
Services Providers,57142.86
Manufacturing,114285.72
Wholesale & Trade,85714.3
Manufacturing,100000
Manufacturing,57142.86
Wholesale & Trade,285714.24
Manufacturing,142857.16
Services Providers,40412
Construction,71428.57
Services Providers,150000
Services Providers,19178
Construction,52579
Wholesale & Trade,50000
Manufacturing,1547925.6
Construction,7295
Manufacturing,225513
Manufacturing,143040
Services Providers,85125.31
Construction,640934
Wholesale & Trade,221926.71
Construction,800562.1
Manufacturing,214285.72
Construction,18975.5
Manufacturing,111593.85
Wholesale & Trade,27252
Services Providers,47070
Manufacturing,142857.15
Services Providers,29801
Wholesale & Trade,344000
Services Providers,1377923
Wholesale & Trade,56071
Manufacturing,86082
Services Providers,592680
Services Providers,100000
Manufacturing,9000
Services Providers,85714.28
Wholesale & Trade,78171.19
Services Providers,119334
Services Providers,990172.25
Wholesale & Trade,74347
Manufacturing,187881
Services Providers,71428.56
Services Providers,14775
Services Providers,37276.62
Services Providers,101221
Manufacturing,39601
Construction,64540
Manufacturing,30950
Services Providers,300000
Construction,124733
Wholesale & Trade,333894.11
Services Providers,677881
Services Providers,149776.73
Services Providers,875000
Services Providers,11455
Manufacturing,176133.2
Construction,127340
Manufacturing,26667
Wholesale & Trade,76050
Manufacturing,7243
Services Providers,240243
Construction,300121
Construction,166881
Manufacturing,244540.96
Services Providers,146648
Manufacturing,100000
Services Providers,31534
Services Providers,204234
Services Providers,30835
Services Providers,107755
Services Providers,204766
Construction,424549
Construction,165391
Services Providers,70989
Construction,687224
Manufacturing,195910
Services Providers,114285.68
Manufacturing,714285.7
Construction,531359
Wholesale & Trade,163033.75
Wholesale & Trade,62337.64
Wholesale & Trade,692087
Services Providers,300000
Wholesale & Trade,94247
Services Providers,100000
Services Providers,38234
Manufacturing,335144.7
Construction,108611.05
Services Providers,45590.46
Manufacturing,53449
Manufacturing,404851
"Agriculture, Forestry, Fishing and Hunting",286665.7
Construction,495076
Manufacturing,472258.83
Manufacturing,238545
Wholesale & Trade,49368.73
Construction,112838
Construction,114285.68
Manufacturing,71428.58
Services Providers,2610654
Manufacturing,325719
Construction,85714.28
Services Providers,66928
Manufacturing,42857.16
Manufacturing,142857.1
"Agriculture, Forestry, Fishing and Hunting",49296
Manufacturing,153819
Wholesale & Trade,187225.83
Wholesale & Trade,208469.82
Wholesale & Trade,187456
Manufacturing,66666.66
Construction,42844
Wholesale & Trade,352587.47
Services Providers,120199
Services Providers,96000
Manufacturing,220298
Services Providers,100000
Services Providers,128514
Wholesale & Trade,508205.17
Services Providers,80516
Manufacturing,483742
Services Providers,126302
Services Providers,57142.86
Services Providers,84000
Wholesale & Trade,25107
Services Providers,103982
Construction,194692
Wholesale & Trade,7280487.63
Manufacturing,652990.86
Construction,285714.3
Manufacturing,754784.49
Services Providers,145445
Construction,57142.84
Services Providers,119217
Services Providers,57001
Services Providers,103867
Services Providers,120000
Construction,191271.64
Wholesale & Trade,1757326
Services Providers,4860.38
Services Providers,132000
Manufacturing,85714.3
Services Providers,35511
Construction,57142.88
Manufacturing,28571.42
Wholesale & Trade,114857.13
Manufacturing,25186
Wholesale & Trade,9128
Services Providers,46734.57
Services Providers,318000
Services Providers,374950.51
Services Providers,286787.16
Wholesale & Trade,1025673
Wholesale & Trade,108067.64
Services Providers,42892
Services Providers,435088.57
Wholesale & Trade,364427
Services Providers,421885.3
Services Providers,185642.87
Manufacturing,94694
Manufacturing,49536
Services Providers,27481
Manufacturing,13359.35
Services Providers,114569
Services Providers,159924
Construction,286610.9
Construction,15507
Manufacturing,154121
Manufacturing,100547
Wholesale & Trade,684866
Services Providers,176975.88
Manufacturing,243189.87
Wholesale & Trade,175854.92
Services Providers,18024
Services Providers,39770
Manufacturing,85714.29
Construction,269726
Services Providers,330144
Wholesale & Trade,124999.98
Services Providers,404376.24
Services Providers,53353
Services Providers,22198
Manufacturing,27691
Construction,400000
Manufacturing,538.01
Construction,28290
Manufacturing,71428.56
Services Providers,221956
Construction,198376
Construction,257142.86
Construction,85714.29
Services Providers,27612
Wholesale & Trade,130599.56
Services Providers,62294
Manufacturing,11942
Construction,356341.33
Services Providers,257157.29
Services Providers,2711539.87
Services Providers,29175.77
Manufacturing,76741.46
Construction,99170
Wholesale & Trade,87667.78
Services Providers,159166.98
Services Providers,215688.02
Construction,1622372.2
Manufacturing,247000
Manufacturing,350676.3
Manufacturing,47765
Manufacturing,50000
Services Providers,1426449.29
Manufacturing,714285.72
Services Providers,67380.3
Wholesale & Trade,164665
Manufacturing,67868
Services Providers,145270.85
Services Providers,1652476
Manufacturing,1262500.02
Wholesale & Trade,23687
Services Providers,95711
Services Providers,84552
Manufacturing,160309.99
Wholesale & Trade,19158.87
Construction,115701
Services Providers,65120
Manufacturing,38071.64
Services Providers,132190.16
Manufacturing,5112
Wholesale & Trade,93895.3
Manufacturing,71084
Manufacturing,1247753.48
Services Providers,214285.76
Services Providers,66666.67
Manufacturing,147872.99
Construction,378604.22
Construction,38000
Wholesale & Trade,200272.23
Services Providers,150450
Wholesale & Trade,1166666.7
Services Providers,32374.26
Manufacturing,412476
"Agriculture, Forestry, Fishing and Hunting",214285.68
Services Providers,117930
Manufacturing,131428.57
Services Providers,92549.57
Construction,1398149
Services Providers,1274654
Services Providers,308142.86
Services Providers,307473
Manufacturing,213512.26
Wholesale & Trade,190476.2
Manufacturing,89518.95
Services Providers,1832583.34
Wholesale & Trade,58333.32
Manufacturing,46459.23
Construction,384814
Services Providers,66246.83
Services Providers,77221.29
Services Providers,19104
Services Providers,24020
Services Providers,121475.48
Manufacturing,194027
Wholesale & Trade,93043
Services Providers,94351
Services Providers,43340.07
Manufacturing,25873
Services Providers,484981.81
Services Providers,75521.77
Services Providers,97126.14
Services Providers,129547.99
Manufacturing,19698
Services Providers,391032
Manufacturing,214062.29
Manufacturing,190476.2
Construction,50000
Services Providers,114727.75
Wholesale & Trade,63636.37
Manufacturing,127272.74
Services Providers,28571.43
Services Providers,195124
Construction,1484192
Services Providers,75775.25
Construction,3821
Manufacturing,282857.15
Services Providers,145942.39
Construction,36093
Services Providers,129606.95
Services Providers,149915.6
Construction,142857.12
Wholesale & Trade,132259.07
Services Providers,666666.64
Services Providers,356045
Services Providers,113393.31
Wholesale & Trade,39148
Services Providers,66000
Manufacturing,128571.44
Wholesale & Trade,57142.88
Services Providers,140000
Services Providers,114801.56
Wholesale & Trade,116213
Construction,97939
Services Providers,234024.15
Services Providers,800000
Construction,89642
Services Providers,81200
Manufacturing,142857.16
Construction,357142.84
Manufacturing,491933.41
Services Providers,124921.34
Manufacturing,175614
"Agriculture, Forestry, Fishing and Hunting",633621.43
Construction,636109
Services Providers,76007.33
Wholesale & Trade,57142.88
Wholesale & Trade,116666.64
Wholesale & Trade,394255
Services Providers,298313
Services Providers,31900.55
Services Providers,107142.86
Manufacturing,428571.43
Wholesale & Trade,78305
Services Providers,114421.62
Construction,74072
Manufacturing,357142.88
